start,text
3.14,Welcome to CS229 Machine Learning.
6.405,"Uh, some of you know that this class has been taught at Stanford for a long time."
9.925,"And this is often the course that, um,"
12.48,"I most look forward to teaching each year because this is where we've helped I think,"
17.08,"several generations of Stanford students become experts in machine learning, go on to build"
21.565,many of their products and services and startups that I'm
24.25,"sure many of you are pre- or all of you are using, uh, uh, today."
28.64,"Um, so what I want to do today was spend some time talking over, uh, logistics,"
35.19,"and then, uh, spend some time, you know,"
37.325,"giving you a beginning of a intro,"
39.25,talk a little bit about machine learning.
41.875,So about 229.
45.01,"Um, you know,"
47.715,"all of you have been reading about AI in the news,"
50.78,"uh, about machine learning in the news."
52.94,"Um, and you probably heard me or others say, AI is the new electricity."
58.5,"Uh, the emergence and rise of electricity about 100 years ago,"
61.37,it transformed every major industry.
63.38,I think AI already we call machine learning for the rest of the world seems to call AI.
67.79,[NOISE]
68.81,"Um, machine learning and,"
71.105,and AI and deep learning will change the world.
73.805,"And I hope that through 229,"
75.884,we'll give you the tools you need so that you can be many of
79.07,"these future titans of industries that you can be one to go out and build,"
83.365,"you know, help the large tech companies do the amazing things they do,"
87.05,"or build your own start-up,"
88.534,or go into some other industry.
90.065,"Go, go transform healthcare or go"
91.94,transform transportation or go build a self-driving car.
94.55,"Um, and do all of these things that,"
97.145,"um, after this class,"
98.85,I think you'll be able to do.
100.26,"You know, um, the majority of students supplying- the,"
105.315,the demand for AI skills- the demand for machine learning skills is so vast.
108.86,I think you all know that.
110.015,"Um, and I think it's because machine learning has advanced"
113.66,"so rapidly in the last few years that there are so many opportunities,"
117.71,"um, to apply the learning algorithms, right?"
120.15,Both in industry as well as in academia.
122.18,"I think today, we have, um,"
124.175,the English department professors trying to
126.35,apply learning algorithms to understand history better.
128.915,"Uh, we have lawyers trying to apply machine learning into"
131.99,"process legal documents and off-campus, every company,"
135.62,both the tech companies as well as lots of
137.57,"other companies that you wouldn't consider tech companies,"
139.94,"everything from manufacturing companies, to healthcare companies,"
142.58,to logistics companies are also trying to apply machine learning.
146.795,"So I think that, um, uh, uh,"
150.1,"if you look at it on a- on a factual basis,"
153.445,the number of people doing
155.69,very valuable machine learning projects today is much greater than it was six months ago.
159.8,And six months ago is much greater than it was 12 months ago.
162.43,"And the amount of value,"
164.24,"the amount of exciting meaningful work being done in machine learning is,"
167.255,"is, is very strongly going up."
170.365,"Um, and I think that given the rise of, you know, the,"
176.01,"the amounts of data we have as well as the new machine learning tools that we have,"
180.71,"um, it will be a long time before we run out of opportunities."
184.715,"You know, before, before society as"
186.56,a whole has enough people with the machine learning skill set.
189.695,"Um, so just as maybe, I don't know,"
192.87,20 years ago was a good time to start working on this Internet thing and
197.0,all people that started working on the Internet like 20 years ago have fantastic careers.
202.115,"I think today is a wonderful time to jump into machine learning, uh, and, and,"
